from,to,weight,time_foster,time_turner,time_maidment
Marsh-Felch Quarry,Allosaurus,1,3,2,3
Marsh-Felch Quarry,Apatosaurus,1,3,2,3
Marsh-Felch Quarry,Brachiosaurus,1,3,2,3
Marsh-Felch Quarry,Camarasaurus,1,3,2,3
Marsh-Felch Quarry,Camptosaurus,1,3,2,3
Marsh-Felch Quarry,Ceratosaurus,1,3,2,3
Marsh-Felch Quarry,Coelurus,1,3,2,3
Marsh-Felch Quarry,Diplodocus,1,3,2,3
Marsh-Felch Quarry,Dryosaurus,1,3,2,3
Marsh-Felch Quarry,Haplocanthosaurus,1,3,2,3
Marsh-Felch Quarry,Nanosaurus,1,3,2,3
Marsh-Felch Quarry,Stegosaurus,1,3,2,3
Mygatt-Moore Quarry,Allosaurus,1,4,3,4
Mygatt-Moore Quarry,Apatosaurus,1,4,3,4
Mygatt-Moore Quarry,Camarasaurus,1,4,3,4
Mygatt-Moore Quarry,Ceratosaurus,1,4,3,4
Mygatt-Moore Quarry,Diplodocus,1,4,3,4
Mygatt-Moore Quarry,Mymoorapelta,1,4,3,4
Mygatt-Moore Quarry,Nanosaurus,1,4,3,4
Nail Quarry,Allosaurus ,1,4,2,6
Nail Quarry,Brontosaurus ,1,4,2,6
Nail Quarry,Camarasaurus ,1,4,2,6
Nail Quarry,Diplodocus ,1,4,2,6
Nail Quarry,Stegosaurus ,1,4,2,6
Nail Quarry,Torvosaurus,1,4,2,6
Nail Quarry,Brachiosaurus ,1,4,2,6
Poison Creek Quarry,Allosaurus ,1,2,2,5
Poison Creek Quarry,Apatosaurus ,1,2,2,5
Poison Creek Quarry,Camarasaurus,1,2,2,5
Poison Creek Quarry,Camptosaurus ,1,2,2,5
Poison Creek Quarry,Diplodocus ,1,2,2,5
Poison Creek Quarry,Haplocanthosaurus ,1,2,2,5
Poison Creek Quarry,Stegosaurus ,1,2,2,5
Rainbow Park Locality 94,Allosaurus ,1,6,4,5
Rainbow Park Locality 94,Camarasaurus ,1,6,4,5
Rainbow Park Locality 94,Camptosaurus ,1,6,4,5
Rainbow Park Locality 94,Diplodocus ,1,6,4,5
Rainbow Park Locality 94,Dryosaurus ,1,6,4,5
Rainbow Park Locality 94,Koparion ,1,6,4,5
Rainbow Park Locality 94,Stegosaurus,1,6,4,5
Reed's Quarry 12,Allosaurus ,1,5,3,6
Reed's Quarry 12,Camarasaurus ,1,5,3,6
Reed's Quarry 12,Coelurus ,1,5,3,6
Reed's Quarry 12,Diplodocus ,1,5,3,6
Reed's Quarry 12,Fosterovenator ,1,5,3,6
Reed's Quarry 12,Stegosaurus ,1,5,3,6
Reed's Quarry 13,Camarasaurus ,1,2,2,5
Reed's Quarry 13,Camptosaurus,1,2,2,5
Reed's Quarry 13,Coelurus ,1,2,2,5
Reed's Quarry 13,Diplodocus ,1,2,2,5
Reed's Quarry 13,Dryosaurus ,1,2,2,5
Reed's Quarry 13,Stegosaurus ,1,2,2,5
Reed's Quarry 13,Brachiosaurus ,1,2,2,5
Reed's Quarry 8,Allosaurus ,1,4,3,6
Reed's Quarry 8,Camarasaurus ,1,4,3,6
Reed's Quarry 8,Coelurus ,1,4,3,6
Reed's Quarry 8,Diplodocus ,1,4,3,6
Reed's Quarry 8,Stegosaurus ,1,4,3,6
Reed's Quarry 9,Allosaurus ,1,5,3,6
Reed's Quarry 9,Camarasaurus ,1,5,3,6
Reed's Quarry 9,Camptosaurus ,1,5,3,6
Reed's Quarry 9,Coelurus ,1,5,3,6
Reed's Quarry 9,Dryosaurus ,1,5,3,6
Reed's Quarry 9,Nanosaurus ,1,5,3,6
Reed's Quarry 9,Stegosaurus ,1,5,3,6
Stovall Quarry 1,Allosaurus,1,5,3,5
Stovall Quarry 1,Apatosaurus,1,5,3,5
Stovall Quarry 1,Brachiosaurus,1,5,3,5
Stovall Quarry 1,Camarasaurus,1,5,3,5
Stovall Quarry 1,Camptosaurus,1,5,3,5
Stovall Quarry 1,Stegosaurus,1,5,3,5
